student,assignment,first,totalHits,totalLow,totalHigh,totalUniqueLow,totalUniqueHigh,totalNoteLength,relevancyRatio,uniqueRelevancyRatio,Step1Q1A,Step1Q1B,Step1Q1C,TotalScore,relSearch,relIndex,relNotes,relNotesIndex,pageComplexity,pageLength,pageSentiment,totalTime,totalSessions,timePerSession,Step1QTotal,ScoreClass
3877,596,1,12,9,3,7,2,0,0.25,0.22,0,0,0,10.25,0.111111111,0.166666667,0,0,16.80833333,214.1666667,7.416666667,23.5,2,12,0,LOW
3877,611,0,36,27,9,17,5,0,0.25,0.23,0,0,0,#NULL!,0.090909091,0.111111111,0,0,18.00833333,209.2777778,12.5,72.5,3,24,0,LOW
3878,596,1,112,92,20,44,9,0,0.18,0.17,2,1,0,21.25,0.113207547,0.142857143,0,0,41.03607143,545.625,11.89285714,123.5,3,41,3,MEDIUM
3878,611,0,57,48,9,28,6,0,0.16,0.18,0,0,0,#NULL!,0.088235294,0.087719298,0,0,38.65561404,887.5263158,11.42105263,223,2,112,0,LOW
3879,596,1,77,49,28,30,9,240,0.36,0.23,2,0,0,18.125,0.153846154,0.272727273,0,0,39.54506494,920.4545455,12.07792208,150,2,75,2,LOW
3879,611,0,43,33,10,10,4,0,0.23,0.29,3,1,0,19.75,0.214285714,0.186046512,0,0,43.58139535,101.7674419,13.04651163,299,5,60,4,MEDIUM
3882,596,1,44,36,8,28,7,0,0.18,0.2,0,0,0,15.5,0.142857143,0.136363636,0,0,31.9175,555.6590909,12.88636364,77,3,26,0,LOW
3882,611,0,34,21,13,16,4,0,0.38,0.2,0,0,0,#NULL!,0.2,0.382352941,0,0,43.48147059,624.1176471,18.17647059,151,5,30,0,LOW
3885,580,1,101,80,21,40,9,287,0.21,0.18,0,0,1,12.125,0.12244898,0.138613861,0,0,38.24366337,910.9108911,13.9009901,79,1,79,1,LOW
3885,582,0,137,113,24,44,8,1232,0.18,0.15,3,3,1,23.5,0.096153846,0.116788321,0.2,0.083333333,38.63124088,616.1313869,12.2189781,266.5,6,44,7,LOW
3888,580,1,21,15,6,13,5,0,0.29,0.28,1,1,0,16.375,0.277777778,0.285714286,0,0,44.57619048,205.0952381,12.19047619,29.5,1,30,2,LOW
3888,582,0,133,100,33,34,6,3068,0.25,0.15,3,2,1,24.125,0.075,0.157894737,0.333333333,0.055555556,43.64894737,1171.007519,13.27819549,325.5,12,27,6,HIGH
3891,600,1,76,69,7,41,6,0,0.09,0.13,0,0,0,19.75,0.106382979,0.078947368,0,0,37.25842105,516.0657895,13.57894737,91.5,2,46,0,LOW
3891,604,0,74,63,11,54,7,0,0.15,0.11,2,0,0,25.75,0.081967213,0.121621622,0,0,39.52391892,469.6081081,13.64864865,178,3,59,2,LOW
3892,600,1,34,21,13,16,9,41,0.38,0.36,1,0,0,20.5,0.24,0.264705882,0.166666667,1,35.77264706,894.8823529,11.17647059,85.5,3,29,1,LOW
3892,604,0,52,43,9,38,8,0,0.17,0.17,3,1,0,22.75,0.108695652,0.115384615,0,0,31.65519231,532.5576923,12.13461538,164.5,3,55,4,MEDIUM
3893,600,1,10,10,0,8,0,0,0,0,1,0,0,7.5,0,0,0,0,33.094,1312.8,11.1,17.5,2,9,1,LOW
3893,604,0,91,62,29,25,7,0,0.32,0.22,2,0,0,16.125,0.125,0.186813187,0,0,30.54989011,773.8021978,9.879120879,199.5,8,25,2,LOW
3897,600,1,183,162,21,62,9,5134,0.11,0.13,1,0,0,20.5,0.083333333,0.090909091,1,0.12,39.57562842,479.6174863,13.38797814,492,4,123,1,LOW
3897,604,0,249,213,36,64,8,746,0.14,0.11,2,1,0,25.5,0.069444444,0.108433735,0,0,37.47955823,330.7710843,12.24497992,638.5,11,58,3,MEDIUM
3898,600,1,47,39,8,24,6,0,0.17,0.2,0,0,0,11.125,0.166666667,0.14893617,0,0,43.17531915,650.4255319,13.78723404,86,3,29,0,LOW
3898,604,0,39,31,8,30,5,0,0.21,0.14,2,1,0,16.125,0.142857143,0.205128205,0,0,38.80692308,597.6410256,13.38461538,140,4,35,3,MEDIUM
3901,586,1,220,184,36,63,9,561,0.16,0.13,3,1,0,19.25,0.083333333,0.136363636,0.166666667,0.166666667,38.90731818,379.7954545,12.89090909,244,5,49,4,MEDIUM
3901,609,0,106,87,19,54,8,0,0.18,0.13,2,0,0,16.125,0.080645,0.141509,0,0,38.79688679,391.8962264,13.10377358,327,2,164,2,LOW
3904,600,1,177,156,21,61,9,0,0.12,0.13,1,0,0,16.75,0.085714286,0.09039548,0,0,37.04468927,520.4463277,13.3559322,152,3,51,1,LOW
3904,604,0,102,88,14,33,6,0,0.14,0.15,1,1,0,23,0.076923077,0.058823529,0,0,32.43862745,742.872549,12.18627451,371.5,9,41,2,LOW
3912,600,1,56,43,13,30,7,3062,0.23,0.19,0,0,0,12.5,0.108108108,0.160714286,0,0,29.29767857,570.7857143,11.53571429,97.5,4,24,0,LOW
3912,604,0,89,74,15,51,7,6938,0.17,0.12,2,0,0,17.75,0.068965517,0.112359551,0.75,0.25,42.05921348,376.1123596,13.03370787,238,5,48,2,LOW
3913,600,1,20,15,5,10,4,0,0.25,0.29,1,0,0,8.125,0.071428571,0.1,0,0,32.352,746.2,12.65,45,3,15,1,LOW
3913,604,0,22,17,5,12,5,0,0.23,0.29,1,0,0,9.5,0.117647059,0.090909091,0,0,24.59545455,293.4545455,10.59090909,104,4,26,1,LOW
3916,600,1,79,64,15,30,8,0,0.19,0.21,1,1,0,25.5,0.131578947,0.126582278,0,0,34.48493671,724.9873418,11.94936709,86,3,29,2,LOW
3916,604,0,72,56,16,29,6,0,0.22,0.17,0,0,0,#NULL!,0.085714286,0.152777778,0,0,30.63819444,1245.777778,10.59722222,193,4,48,0,LOW
3917,600,1,71,54,17,30,8,370,0.24,0.21,3,1,0,31.125,0.157894737,0.208333333,0.333333333,1,37.10943662,595.6901408,13.08450704,106,2,53,4,MEDIUM
3917,604,0,73,62,11,42,8,2405,0.15,0.16,2,2,0,33.75,0.098039216,0.118421053,0.4,0.111111111,38.60506849,428.2328767,13.1369863,258.5,7,37,4,MEDIUM
3920,600,1,215,181,34,62,9,2813,0.16,0.13,1,0,0,14.75,0.084507042,0.120930233,0.333333333,0.090909091,38.67060465,541.0325581,11.78604651,227,4,57,1,LOW
3920,604,0,66,50,16,22,6,683,0.24,0.21,0,0,0,#NULL!,0.107142857,0.136363636,0,0,32.08333333,1517.454545,12.75757576,372,6,62,0,LOW
3921,600,1,52,44,8,25,7,811,0.15,0.22,0,0,0,20.75,0.15625,0.115384615,0.4,0.333333333,45.48596154,538.8461538,15.13461538,227,3,76,0,LOW
3921,604,0,44,39,5,27,5,1785,0.11,0.16,2,3,2,29.375,0.09375,0.068181818,1,0.1875,41.03636364,244.7272727,11.88636364,209,4,52,7,HIGH
3922,600,1,73,64,9,43,8,2342,0.12,0.16,2,2,0,20.75,0.098039216,0.082191781,1,0.2,39.43109589,479.5068493,12.50684932,121,3,40,4,MEDIUM
3922,604,0,50,40,10,32,7,3227,0.2,0.18,1,0,0,21.125,0.102564103,0.12,0.25,0.058823529,35.1794,541.88,12.24,217,2,109,1,LOW
3924,600,1,50,36,14,31,8,727,0.28,0.21,0,0,0,18.125,0.128205128,0.18,0.6,0.214285714,35.4054,554.36,12.54,58.5,1,59,0,LOW
3924,604,0,60,50,10,37,7,114,0.17,0.16,2,2,0,16.375,0.113636364,0.133333333,0,0,31.15783333,859.6333333,11.75,120,2,60,4,MEDIUM
3926,600,1,35,23,12,17,6,0,0.34,0.26,1,0,0,19.125,0.130434783,0.171428571,0,0,30.82571429,272,10.94285714,52,1,52,1,LOW
3926,604,0,81,60,21,39,8,1023,0.26,0.17,2,0,0,14.75,0.106382979,0.197530864,0.4,0.285714286,33.84283951,426.4691358,13.55555556,157,4,39,2,LOW
3929,592,1,66,57,9,41,8,583,0.14,0.16,3,1,0,20.125,0.102040816,0.090909091,0,0,32.51318182,530.4090909,12.31818182,136.5,3,46,4,MEDIUM
3929,612,0,37,29,8,20,5,101,0.22,0.2,0,0,0,#NULL!,0.16,0.189189189,0,0,40.36324324,1111.378378,12.94594595,201,2,101,0,LOW
3934,612,0,45,34,11,24,5,0,0.24,0.17,2,2,0,21.75,99,99,99,99,40.45711111,822.7777778,12.77777778,142.5,3,48,4,MEDIUM
3937,611,1,78,67,11,34,3,877,0.14,0.08,3,1,0,24.875,0.135135135,0.269230769,0.4,0.4,36.33589744,235.2435897,14.74358974,161,5,32,4,MEDIUM
3970,645,1,38,33,5,27,5,0,0.13,0.16,0,0,0,#NULL!,0.09375,0.078947368,0,0,27.44657895,359.8947368,10,29.5,1,30,0,LOW
3971,645,1,74,63,11,33,8,0,0.15,0.2,0,0,0,#NULL!,0.073170732,0.081081081,0,0,38.4177027,556.5810811,12.37837838,63.5,1,64,0,LOW
3973,586,1,76,64,12,47,9,1037,0.16,0.16,0,0,0,12.5,0.107142857,0.118421053,0.666666667,0.235294118,35.23605263,539.1184211,12.65789474,79,2,40,0,LOW
3973,609,0,47,34,13,31,8,989,0.28,0.21,2,2,0,21.25,0.128205128,0.212765957,0.8,0.25,37.06957447,562.4893617,12.23404255,120,2,60,4,MEDIUM
3975,645,1,62,53,9,39,8,3104,0.15,0.17,0,0,0,#NULL!,0.106382979,0.142857143,0.8,0.210526316,33.37370968,541.9516129,12.77419355,110.5,3,37,0,LOW
3976,645,1,42,37,5,29,5,0,0.12,0.15,1,2,0,16.75,0.117647059,0.142857143,0,0,39.06119048,424.3809524,14.45238095,60,2,30,3,MEDIUM
3979,645,1,68,56,12,34,8,0,0.18,0.19,3,3,1,31.75,0.119047619,0.132352941,0,0,41.24558824,583.6911765,12.52941176,50,1,50,7,HIGH
3981,645,1,75,61,14,32,9,0,0.19,0.22,3,3,2,25.375,0.073170732,0.08,0,0,42.94933333,376.92,12.54666667,62,1,62,8,HIGH
3988,645,1,74,65,9,53,9,1588,0.12,0.15,3,2,0,29,0.080645161,0.094594595,0.2,0.052631579,39.64824324,431.3108108,13.7027027,98,2,49,5,MEDIUM
3989,645,1,26,20,6,19,6,109,0.23,0.24,2,1,0,7.375,0.12,0.115384615,0,0,48.34115385,797.5,12.57692308,17,1,17,3,MEDIUM
4001,643,1,10,5,5,3,4,0,0.5,0.57,0,0,0,#NULL!,0.285714286,0.3,0,0,41.2,2360,14.7,10,1,10,0,LOW
4013,637,0,133,113,20,64,8,6997,0.15,0.11,2,1,0,19.375,0.069444444,0.112781955,0.8,0.08,37.5306015,372.518797,11.9924812,452.5,12,38,3,MEDIUM
4015,637,0,81,70,11,55,8,3384,0.14,0.13,3,3,3,32.125,0.079365079,0.098765432,0.4,0.071428571,39.59098765,465.1111111,13.40740741,184,2,92,9,HIGH
4020,637,1,46,38,8,32,8,8581,0.17,0.2,1,0,0,18.125,0.125,0.152173913,1,0.147058824,36.71891304,582,13.02173913,78.5,3,26,1,LOW
4023,637,0,78,62,16,42,8,6070,0.21,0.16,0,0,0,#NULL!,0.1,0.115384615,0.4,0.181818182,38.26461538,371.6410256,14.6025641,319.5,7,46,0,LOW
4024,637,0,109,88,21,46,8,1350,0.19,0.15,1,0,0,20.75,0.092592593,0.137614679,0,0,43.28853211,669.4678899,11.0733945,380,9,42,1,LOW
4025,637,0,50,27,23,16,6,782,0.46,0.27,0,0,0,#NULL!,0.227272727,0.44,0.6,0.428571429,41.404,210.86,15.08,282.5,5,57,0,LOW
4043,632,1,6,4,2,2,2,0,0.33,0.5,0,0,0,#NULL!,0.25,0.166666667,0,0,49.55,122.8333333,13.16666667,20,2,10,0,LOW
