first,totalHits,totalLow,totalHigh,totalUniqueHigh,totalNoteLength,relevancyRatio,uniqueRelevancyRatio,Step1Q1A,Step1Q1B,Step1Q1C,total,relSearch,relIndex,relNotes,relNotesIndex,pageComplexity,pageLength,pageSentiment
0,115,79,36,8,0,0.31,0.22,1,0,0,1,0.135135135,0.260869565,0,0,41.57956522,1070.191304,13.33043478
1,113,94,19,9,3243,0.17,0.2,1,1,0,2,0.130434783,0.14159292,0.333333333,0.222222222,40.09150442,677.7433628,13.15044248
0,166,139,27,8,0,0.16,0.11,1,0,0,1,0.069444444,0.137724551,0,0,37.98536145,335.746988,13.06024096
1,98,81,17,9,0,0.17,0.15,0,0,0,0,0.101694915,0.102040816,0,0,38.0527551,473.5,12.98979592
0,120,98,22,8,0,0.18,0.12,3,3,3,9,0.076923077,0.15,0,0,38.81141667,349.8833333,13.15833333
1,39,35,4,4,1708,0.1,0.17,0,0,0,0,0.125,0.076923077,0.333333333,0.111111111,37.47717949,942.2051282,15.64102564
0,80,53,27,6,1562,0.34,0.16,1,2,0,3,0.131578947,0.2875,0.8,0.307692308,36.975,139.3375,14.7375
1,63,51,12,5,4832,0.19,0.17,2,3,2,7,0.066666667,0.047619048,0.5,0.083333333,26.15873016,224.2698413,10.85714286
0,49,31,18,7,4016,0.37,0.27,3,2,0,5,0.192307692,0.285714286,0.6,0.272727273,30.16326531,180.5510204,15.36734694
1,170,154,16,8,0,0.09,0.12,3,2,1,6,0.072463768,0.058823529,0,0,35.25770588,520.9294118,13.33529412
0,133,109,24,6,868,0.18,0.11,3,2,0,5,0.052631579,0.135338346,0.333333333,0.1,39.87150376,566.6466165,12.20300752
1,163,132,31,9,0,0.19,0.18,2,2,0,4,0.117647059,0.171779141,0,0,37.28760736,1283.93865,13.34355828
0,208,174,34,8,1248,0.16,0.13,1,2,0,3,0.080645161,0.125,0.6,0.166666667,39.46288462,563.5817308,12.80288462
1,71,57,14,8,960,0.2,0.15,0,0,0,0,0.094339623,0.14084507,0.8,0.222222222,34.4615493,512.1690141,12.8028169
0,50,42,8,8,2287,0.16,0.16,0,0,0,0,0.1,0.129032258,0.8,0.181818182,33.6414,642.94,11.64
1,230,191,39,9,5459,0.17,0.15,3,3,1,7,0.096774194,0.12173913,0.166666667,0.033333333,38.43608696,748.5043478,11.09565217
0,136,117,19,8,0,0.14,0.13,3,3,1,7,0.081967213,0.088235294,0,0,37.72382353,515.6691176,12.61764706
1,20,17,3,3,0,0.15,0.18,1,1,0,2,0.176470588,0.15,0,0,42.38,251.55,16.15
0,41,29,12,7,0,0.29,0.27,2,2,0,4,0.153846154,0.170731707,0,0,44.94634146,150.9512195,16.6097561
1,92,80,12,8,0,0.13,0.16,1,0,0,1,0.1,0.076086957,0,0,37.96815217,457.25,13.41304348
0,125,104,21,8,0,0.17,0.13,1,3,0,4,0.079365079,0.12,0,0,40.14912,508.696,13.552
1,245,201,44,9,12330,0.18,0.15,1,1,0,2,0.1,0.134693878,0.833333333,0.11627907,39.95595918,459.2653061,12.68979592
0,14,4,10,3,0,0.71,0.43,0,0,0,0,0.285714286,0.642857143,0,0,36.8,101.6428571,16.07142857
1,45,30,15,8,23,0.33,0.28,1,1,0,2,0.172413793,0.266666667,0,0,41.24155556,549.5111111,13.17777778
0,93,83,10,6,651,0.11,0.1,1,0,0,1,0.048387097,0.075268817,1,0.157894737,39.64913978,428.827957,13.58064516
1,150,123,27,9,0,0.18,0.13,1,1,0,2,0.085714286,0.119205298,0,0,38.06693333,583.26,12.92
0,71,62,9,6,743,0.13,0.11,3,1,0,4,0.072727,0.098591549,0.25,0.055555556,39.88690141,399.1126761,14.30985915
0,23,15,8,4,54,0.35,0.29,0,0,0,0,0.285714286,0.347826087,0,0,37.27391304,636.0869565,13.26086957
1,115,96,19,9,4190,0.17,0.16,0,0,0,0,0.107142857,0.104347826,0.5,0.103448276,38.91713043,580.5565217,13.15652174
0,112,96,16,6,2175,0.14,0.12,0,0,0,0,0.06122449,0.107142857,1,0.136363636,41.12535714,378.7767857,11.32142857
1,109,92,17,8,0,0.16,0.18,3,2,0,5,0.113636364,0.100917431,0,0,31.48330275,560.8807339,12.79816514
0,186,166,20,8,0,0.11,0.11,3,2,0,5,0.069444444,0.069892473,0,0,39.86978495,567.6344086,12.76344086
1,42,32,10,8,759,0.24,0.24,1,0,0,1,0.147058824,0.166666667,0.4,0.222222222,33.56595238,645.3571429,11.45238095
0,55,46,9,7,3946,0.16,0.15,0,0,0,0,0.106382979,0.137931034,0.8,0.148148148,33.50127273,600.8363636,12.05454545
1,39,27,12,9,0,0.31,0.3,0,0,0,0,0.2,0.230769231,0,0,32.44282051,693,11.51282051
0,214,175,39,8,8049,0.18,0.13,3,2,0,5,0.079365079,0.14953271,0.6,0.103448276,37.97920561,555.4906542,12.28037383
1,220,178,42,9,10236,0.19,0.15,3,0,0,3,0.096774194,0.145374449,0.5,0.107142857,37.80795455,825.3181818,13.73181818
0,18,16,2,2,0,0.11,0.15,3,2,0,5,0.076923077,0.055555556,0,0,35,147.1666667,8.777777778
0,58,50,8,8,319,0.14,0.14,2,1,0,3,0.086206897,0.092592593,0,0,38.82017241,582.0344828,12.84482759
1,74,51,23,7,621,0.31,0.23,0,0,0,0,0.2,0.293333333,0,0,43.85094595,698.6486486,14.43243243
0,148,127,21,7,0,0.14,0.13,3,0,0,3,0.090909091,0.108108108,0,0,36.09554054,587.9662162,13.10810811
1,113,90,23,8,0,0.2,0.16,0,0,0,0,0.102040816,0.150442478,0,0,32.32778761,596.8584071,11.47787611
0,113,97,16,8,341,0.14,0.13,3,0,0,3,0.080645161,0.07079646,0.2,0.125,42.00238938,495.9469027,12.42477876
1,109,94,15,9,964,0.14,0.13,1,0,0,1,0.088235294,0.110091743,0.166666667,0.066666667,40.34651376,377.9449541,13.69724771
0,47,36,11,5,431,0.23,0.14,0,0,0,0,0.114285714,0.212765957,0,0,43.19021277,784.5319149,13.46808511
1,142,121,21,9,8160,0.15,0.14,3,3,1,7,0.092307692,0.105633803,0.833333333,0.098039216,38.53605634,790.3028169,12.85915493
0,113,103,10,8,0,0.09,0.13,2,1,0,3,0.078125,0.061946903,0,0,41.31566372,363.1150442,14.19469027
1,76,60,16,8,0,0.21,0.16,2,0,0,2,0.1,0.171052632,0,0,38.23776316,462.9342105,12.17105263
0,50,33,17,7,0,0.34,0.21,3,2,0,5,0.117647059,0.26,0,0,37.5014,624.7,12.62
1,60,50,10,8,3420,0.17,0.2,1,0,0,1,0.12195122,0.083333333,0.6,0.130434783,34.39616667,549.0666667,11.53333333
0,50,41,9,6,45,0.18,0.14,2,1,0,3,0.095238095,0.14,0.25,1,39.1174,583.06,12.36
1,139,115,24,9,0,0.17,0.16,1,0,0,1,0.105263158,0.151079137,0,0,38.25021583,554.1151079,13.38848921
0,110,92,18,4,0,0.16,0.1,1,0,0,1,0.1,0.163636364,0,0,42.49472727,1123.5,12.5
1,274,233,41,9,3799,0.15,0.13,2,0,0,2,0.088235294,0.116788321,0.833333333,0.227272727,38.30357664,502.0145985,13.80291971
0,62,52,10,2,2962,0.16,0.1,1,1,1,3,0.095238095,0.174603175,0,0,42.20322581,346.483871,15
1,44,36,8,8,0,0.18,0.23,0,0,0,0,0.142857143,0.113636364,0,0,35.41295455,663.6136364,12.97727273
0,57,44,13,8,0,0.23,0.2,1,0,0,1,0.12195122,0.157894737,0,0,38.62701754,674.1929825,11.14035088
1,7,6,1,1,0,0.14,0.17,0,0,0,0,0.166666667,0.142857143,0,0,37.78142857,929.1428571,13.57142857
0,44,35,9,5,1850,0.2,0.14,1,1,0,2,0.138888889,0.204545455,1,0.185185185,40.55386364,602.7272727,12.43181818
1,132,110,22,9,5610,0.17,0.15,0,0,0,0,0.096774194,0.136363636,0.833333333,0.147058824,40.59143939,466.4393939,13.52272727
0,107,88,19,8,7728,0.18,0.13,1,2,1,4,0.078125,0.130841121,1,0.131578947,39.26327103,386.6635514,13.11214953
1,187,156,31,9,0,0.17,0.13,3,2,1,6,0.089552239,0.14973262,0,0,36.63855615,540.0588235,12.72192513
0,115,91,24,6,0,0.21,0.11,1,2,0,3,0.070175439,0.182608696,0,0,35.39478261,305.5217391,13.39130435
1,12,9,3,2,0,0.25,0.22,0,0,0,0,0.111111111,0.166666667,0,0,16.80833333,214.1666667,7.416666667
0,36,27,9,5,0,0.25,0.23,0,0,0,0,0.090909091,0.111111111,0,0,18.00833333,209.2777778,12.5
1,112,92,20,9,0,0.18,0.17,2,1,0,3,0.113207547,0.142857143,0,0,41.03607143,545.625,11.89285714
0,57,48,9,6,0,0.16,0.18,0,0,0,0,0.088235294,0.087719298,0,0,38.65561404,887.5263158,11.42105263
1,77,49,28,9,240,0.36,0.23,2,0,0,2,0.153846154,0.272727273,0,0,39.54506494,920.4545455,12.07792208
0,43,33,10,4,0,0.23,0.29,3,1,0,4,0.214285714,0.186046512,0,0,43.58139535,101.7674419,13.04651163
1,44,36,8,7,0,0.18,0.2,0,0,0,0,0.142857143,0.136363636,0,0,31.9175,555.6590909,12.88636364
0,34,21,13,4,0,0.38,0.2,0,0,0,0,0.2,0.382352941,0,0,43.48147059,624.1176471,18.17647059
1,101,80,21,9,287,0.21,0.18,0,0,1,1,0.12244898,0.138613861,0,0,38.24366337,910.9108911,13.9009901
0,137,113,24,8,1232,0.18,0.15,3,3,1,7,0.096153846,0.116788321,0.2,0.083333333,38.63124088,616.1313869,12.2189781
1,21,15,6,5,0,0.29,0.28,1,1,0,2,0.277777778,0.285714286,0,0,44.57619048,205.0952381,12.19047619
0,133,100,33,6,3068,0.25,0.15,3,2,1,6,0.075,0.157894737,0.333333333,0.055555556,43.64894737,1171.007519,13.27819549
1,76,69,7,6,0,0.09,0.13,0,0,0,0,0.106382979,0.078947368,0,0,37.25842105,516.0657895,13.57894737
0,74,63,11,7,0,0.15,0.11,2,0,0,2,0.081967213,0.121621622,0,0,39.52391892,469.6081081,13.64864865
1,34,21,13,9,41,0.38,0.36,1,0,0,1,0.24,0.264705882,0.166666667,1,35.77264706,894.8823529,11.17647059
0,52,43,9,8,0,0.17,0.17,3,1,0,4,0.108695652,0.115384615,0,0,31.65519231,532.5576923,12.13461538
1,10,10,0,0,0,0,0,1,0,0,1,0,0,0,0,33.094,1312.8,11.1
0,91,62,29,7,0,0.32,0.22,2,0,0,2,0.125,0.186813187,0,0,30.54989011,773.8021978,9.879120879
1,183,162,21,9,5134,0.11,0.13,1,0,0,1,0.083333333,0.090909091,1,0.12,39.57562842,479.6174863,13.38797814
0,249,213,36,8,746,0.14,0.11,2,1,0,3,0.069444444,0.108433735,0,0,37.47955823,330.7710843,12.24497992
1,47,39,8,6,0,0.17,0.2,0,0,0,0,0.166666667,0.14893617,0,0,43.17531915,650.4255319,13.78723404
0,39,31,8,5,0,0.21,0.14,2,1,0,3,0.142857143,0.205128205,0,0,38.80692308,597.6410256,13.38461538
1,220,184,36,9,561,0.16,0.13,3,1,0,4,0.083333333,0.136363636,0.166666667,0.166666667,38.90731818,379.7954545,12.89090909
0,106,87,19,8,0,0.18,0.13,2,0,0,2,0.080645,0.141509,0,0,38.79688679,391.8962264,13.10377358
1,177,156,21,9,0,0.12,0.13,1,0,0,1,0.085714286,0.09039548,0,0,37.04468927,520.4463277,13.3559322
0,102,88,14,6,0,0.14,0.15,1,1,0,2,0.076923077,0.058823529,0,0,32.43862745,742.872549,12.18627451
1,56,43,13,7,3062,0.23,0.19,0,0,0,0,0.108108108,0.160714286,0,0,29.29767857,570.7857143,11.53571429
0,89,74,15,7,6938,0.17,0.12,2,0,0,2,0.068965517,0.112359551,0.75,0.25,42.05921348,376.1123596,13.03370787
1,20,15,5,4,0,0.25,0.29,1,0,0,1,0.071428571,0.1,0,0,32.352,746.2,12.65
0,22,17,5,5,0,0.23,0.29,1,0,0,1,0.117647059,0.090909091,0,0,24.59545455,293.4545455,10.59090909
1,79,64,15,8,0,0.19,0.21,1,1,0,2,0.131578947,0.126582278,0,0,34.48493671,724.9873418,11.94936709
0,72,56,16,6,0,0.22,0.17,0,0,0,0,0.085714286,0.152777778,0,0,30.63819444,1245.777778,10.59722222
1,71,54,17,8,370,0.24,0.21,3,1,0,4,0.157894737,0.208333333,0.333333333,1,37.10943662,595.6901408,13.08450704
0,73,62,11,8,2405,0.15,0.16,2,2,0,4,0.098039216,0.118421053,0.4,0.111111111,38.60506849,428.2328767,13.1369863
1,215,181,34,9,2813,0.16,0.13,1,0,0,1,0.084507042,0.120930233,0.333333333,0.090909091,38.67060465,541.0325581,11.78604651
0,66,50,16,6,683,0.24,0.21,0,0,0,0,0.107142857,0.136363636,0,0,32.08333333,1517.454545,12.75757576
1,52,44,8,7,811,0.15,0.22,0,0,0,0,0.15625,0.115384615,0.4,0.333333333,45.48596154,538.8461538,15.13461538
0,44,39,5,5,1785,0.11,0.16,2,3,2,7,0.09375,0.068181818,1,0.1875,41.03636364,244.7272727,11.88636364
1,73,64,9,8,2342,0.12,0.16,2,2,0,4,0.098039216,0.082191781,1,0.2,39.43109589,479.5068493,12.50684932
0,50,40,10,7,3227,0.2,0.18,1,0,0,1,0.102564103,0.12,0.25,0.058823529,35.1794,541.88,12.24
1,50,36,14,8,727,0.28,0.21,0,0,0,0,0.128205128,0.18,0.6,0.214285714,35.4054,554.36,12.54
0,60,50,10,7,114,0.17,0.16,2,2,0,4,0.113636364,0.133333333,0,0,31.15783333,859.6333333,11.75
1,35,23,12,6,0,0.34,0.26,1,0,0,1,0.130434783,0.171428571,0,0,30.82571429,272,10.94285714
0,81,60,21,8,1023,0.26,0.17,2,0,0,2,0.106382979,0.197530864,0.4,0.285714286,33.84283951,426.4691358,13.55555556
1,66,57,9,8,583,0.14,0.16,3,1,0,4,0.102040816,0.090909091,0,0,32.51318182,530.4090909,12.31818182
0,37,29,8,5,101,0.22,0.2,0,0,0,0,0.16,0.189189189,0,0,40.36324324,1111.378378,12.94594595
0,45,34,11,5,0,0.24,0.17,2,2,0,4,99,99,99,99,40.45711111,822.7777778,12.77777778
1,78,67,11,3,877,0.14,0.08,3,1,0,4,0.135135135,0.269230769,0.4,0.4,36.33589744,235.2435897,14.74358974
1,38,33,5,5,0,0.13,0.16,0,0,0,0,0.09375,0.078947368,0,0,27.44657895,359.8947368,10
1,74,63,11,8,0,0.15,0.2,0,0,0,0,0.073170732,0.081081081,0,0,38.4177027,556.5810811,12.37837838
1,76,64,12,9,1037,0.16,0.16,0,0,0,0,0.107142857,0.118421053,0.666666667,0.235294118,35.23605263,539.1184211,12.65789474
0,47,34,13,8,989,0.28,0.21,2,2,0,4,0.128205128,0.212765957,0.8,0.25,37.06957447,562.4893617,12.23404255
1,62,53,9,8,3104,0.15,0.17,0,0,0,0,0.106382979,0.142857143,0.8,0.210526316,33.37370968,541.9516129,12.77419355
1,42,37,5,5,0,0.12,0.15,1,2,0,3,0.117647059,0.142857143,0,0,39.06119048,424.3809524,14.45238095
1,68,56,12,8,0,0.18,0.19,3,3,1,7,0.119047619,0.132352941,0,0,41.24558824,583.6911765,12.52941176
1,75,61,14,9,0,0.19,0.22,3,3,2,8,0.073170732,0.08,0,0,42.94933333,376.92,12.54666667
1,74,65,9,9,1588,0.12,0.15,3,2,0,5,0.080645161,0.094594595,0.2,0.052631579,39.64824324,431.3108108,13.7027027
1,26,20,6,6,109,0.23,0.24,2,1,0,3,0.12,0.115384615,0,0,48.34115385,797.5,12.57692308
1,10,5,5,4,0,0.5,0.57,0,0,0,0,0.285714286,0.3,0,0,41.2,2360,14.7
0,133,113,20,8,6997,0.15,0.11,2,1,0,3,0.069444444,0.112781955,0.8,0.08,37.5306015,372.518797,11.9924812
0,81,70,11,8,3384,0.14,0.13,3,3,3,9,0.079365079,0.098765432,0.4,0.071428571,39.59098765,465.1111111,13.40740741
1,46,38,8,8,8581,0.17,0.2,1,0,0,1,0.125,0.152173913,1,0.147058824,36.71891304,582,13.02173913
0,78,62,16,8,6070,0.21,0.16,0,0,0,0,0.1,0.115384615,0.4,0.181818182,38.26461538,371.6410256,14.6025641
0,109,88,21,8,1350,0.19,0.15,1,0,0,1,0.092592593,0.137614679,0,0,43.28853211,669.4678899,11.0733945
0,50,27,23,6,782,0.46,0.27,0,0,0,0,0.227272727,0.44,0.6,0.428571429,41.404,210.86,15.08
1,6,4,2,2,0,0.33,0.5,0,0,0,0,0.25,0.166666667,0,0,49.55,122.8333333,13.16666667
0,29,21,8,4,0,0.28,0.17,0,0,0,0,0.173913043,0.275862069,0,0,45.39206897,734.1724138,11.96551724
0,95,75,20,7,554,0.21,0.18,2,3,3,8,0.1,0.157894737,0,0,42.07263158,223.7473684,12.36842105
0,115,95,20,8,1595,0.17,0.13,2,0,0,2,0.081967213,0.130434783,0.4,0.125,38.91773913,500.4347826,12.48695652
1,22,17,5,4,0,0.23,0.21,0,0,0,0,0.052631579,0.045454545,0,0,47.86681818,941.6363636,9.545454545
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,88,15
1,77,55,22,9,90,0.29,0.18,1,0,0,1,0.098039216,0.194805195,0,0,31.89571429,608.2597403,11.41558442
0,38,31,7,5,2313,0.18,0.17,1,0,0,1,0.137931034,0.157894737,1,0.25,38.59736842,203.8947368,12.78947368
0,147,130,17,8,0,0.12,0.13,1,1,0,2,0.078125,0.068027211,0,0,36.90979592,440.6122449,12.40816327
0,58,46,12,6,0,0.21,0.18,2,3,3,8,0.088235294,0.120689655,0,0,35.74672414,444.5344828,13
0,31,20,11,4,0,0.35,0.24,2,2,0,4,0.176470588,0.322580645,0,0,44.38387097,500.8064516,13.09677419
